timestamp,itemid,property,value
1434250800000,316253,available,1
1431831600000,15589,6,153715 484436
1433646000000,116504,917,n1923864.000 1197088
1435460400000,197829,678,662492
1433646000000,380551,227,1235560 150169 1263524
1433646000000,111569,701,769062
1431831600000,174204,917,1068301
1440298800000,368230,400,1297729 n720.000 1178208 n900.000 424566
1434250800000,362833,521,769062
1439089200000,449337,962,664227 1305534 664227 463202 664227
1433646000000,129487,243,188678
1436065200000,387064,888,543080 702002 n48.000
1437274800000,331781,71,150169 276537
1441508400000,428812,400,n552.000 639502 n720.000 424566
1437274800000,430459,available,0
1431831600000,159576,981,140719 553394
1436065200000,26690,888,824508 n7536.000 309080 594060 892470
1434250800000,181493,790,n191736.000
1434250800000,403192,364,256913
1433041200000,411262,available,0
1433041200000,298275,438,1322464
1433646000000,439391,790,n54048.000
1431831600000,329408,888,1333963 747375 927741 1071593 547687 199524
1434250800000,277795,1036,206386
1431831600000,322092,776,1017929
1435460400000,458239,6,452320 853231
1433646000000,382111,202,983069
1437274800000,41111,888,150169 460346 174342 750333 523033 33148
1439694000000,327428,581,769062
1435460400000,47890,202,n114420.000 855272
1439089200000,388318,928,726612 1318567
1434250800000,211525,888,236689 1037087 1318567
1431831600000,103584,790,n459360.000
1439694000000,109474,62,530843
1441508400000,50372,available,0
1435460400000,4549,202,823500
1433646000000,336145,405,1253012
1441508400000,289043,available,0
1439694000000,16499,790,n252000.000
1439694000000,126010,881,n48.000
1433646000000,290723,928,264087
1434250800000,56337,790,n23160.000
1433646000000,296856,719,n12.000 593897
1436670000000,8840,790,n94800.000
1431831600000,131258,888,665993
1433646000000,77752,235,1277294
1439694000000,236737,202,645728 1106070
1433646000000,346548,1090,769062
1434250800000,456241,451,140719 553394
1433646000000,196833,243,316731
1435460400000,61482,964,n2640.000 1128577 486467 604633
1435460400000,365407,available,0
1442113200000,182237,364,956209
1435460400000,239345,689,150169 683159
1436065200000,199663,981,288796 23770
1433646000000,337581,839,330953
1439694000000,370490,400,n410.400 424566
1440298800000,197394,888,722389 543387 679871 n180.000 1175087 n144.000 424566 373898 784581 1297729 n96.000 350726 30603 832471
1432436400000,281245,categoryid,1277
1431226800000,22474,776,39354
1433646000000,97792,790,n65280.000
1439089200000,53057,888,140639 419119
1437274800000,95163,790,n38400.000
1436670000000,28212,790,n400080.000
1431831600000,459171,790,n108120.000
1437879600000,86554,790,n11520.000
1439089200000,213101,888,1207060 620840
1435460400000,275052,38,769062
1433646000000,463687,763,337402
1435460400000,35575,categoryid,1059
1436065200000,337383,6,1115994
1434250800000,259695,830,373898
1433646000000,442902,322,1320974 1035303
1439089200000,419839,888,732666 784581 1297729 n36.000 350726 30603 832471
1431831600000,315214,1037,769062
1431831600000,127727,790,n296496.000
1434250800000,244145,283,132734 242183 797785
1434250800000,209119,681,814297 670753 n84.000 253573
1436670000000,218001,60,939845 n36.000
1431831600000,124526,1095,769062
1432436400000,160991,888,917587
1435460400000,147972,227,1272323
1433646000000,379855,888,1239925
1433646000000,25145,921,526589 39986 1257525
1433646000000,235243,available,0
1435460400000,139939,available,1
1434250800000,51620,888,1069638
1433041200000,276631,888,787933 n72492.000 549428
1434250800000,115206,6,1283144 353870
1439089200000,211515,888,409481
1432436400000,400055,225,1301326
1433646000000,449983,810,n348.000 424566
1435460400000,64810,981,288796 23770 769062
1437274800000,38494,283,1319279 920988 639039
1433041200000,78556,888,526492
1433646000000,115174,33,1305836
1433041200000,82179,364,618754
1431831600000,268068,available,0
1442113200000,43294,962,664227 1305534 664227 463202 664227
1432436400000,457859,888,273569 146021
1435460400000,384751,71,669505
1432436400000,235521,544,992862 1314525
1431831600000,177440,112,679677
1431226800000,182614,available,1
1433646000000,231478,175,n12.000
1439694000000,36795,566,n288.000 424566
1433646000000,289958,6,1283144 353870
1437274800000,8313,categoryid,1147
1434250800000,22987,28,150169 610517
1434250800000,148422,1092,291010
1433646000000,228827,790,n3120.000
1435460400000,266281,227,132734
1432436400000,170997,888,927390
1439694000000,9550,202,984335
1433646000000,105739,1031,253511
1437879600000,55102,categoryid,47
1431226800000,333352,888,717918 82889
1431226800000,387461,112,679677
1431226800000,253783,888,1100253 n98400.000
1439694000000,104468,451,680408
1436670000000,243400,790,n132480.000
1436065200000,291437,496,357961 795132
1440903600000,134024,888,611939 364302
1439694000000,297609,204,1055803 278045 868208
1433041200000,147404,961,829207 797026
1440298800000,208098,888,842112 850319 175528
1441508400000,375589,790,n12840.000
1433041200000,35535,671,769062
1433646000000,319854,1036,1318567 1154859
1436065200000,277325,790,n7308.000
1431226800000,289825,available,1
1433041200000,397079,categoryid,619
1433646000000,400399,159,519769
1433041200000,52829,888,181904
1441508400000,40305,663,1297729 n156.000 606827
1439089200000,331622,790,n137712.000
1435460400000,10394,631,n360.000 988555
1433646000000,32893,6,839336
1439694000000,203827,1014,324807
1437274800000,351059,888,140639 591923
1433646000000,186274,227,827388
1442113200000,240207,available,0
1435460400000,323318,6,977762
1433041200000,113306,956,769062
1433041200000,44914,1036,396030
1431226800000,238394,159,519769
1433646000000,144968,107,769062
1439694000000,422109,available,1
1431226800000,179634,364,927963
1431226800000,15401,159,519769
1442113200000,106906,available,1
1436670000000,43959,457,362953
1433646000000,63632,264,150169 153715 484436
1439694000000,415811,575,185345
1433646000000,429627,790,n8520.000
1436670000000,265036,categoryid,1228
1433646000000,165509,202,n84600.000
1432436400000,165420,438,1322464
1440298800000,259437,available,0
1437274800000,124550,364,1230751
1435460400000,83959,available,0
1437879600000,159700,888,570993 335718 n96.000 270908 288796
1440298800000,120634,888,1067995 707445 945443
1433041200000,312397,696,911286 1284577 1240261
1433646000000,266186,35,539109 661116 1257525
1433041200000,61923,28,150169 610517
1440903600000,454651,888,539305
1436670000000,343993,776,984127
1433041200000,155380,227,513779 150169 866223
1433646000000,314310,790,n251880.000
1433646000000,250133,6,1037891
1437274800000,23844,888,498564 1154150
1437879600000,124459,categoryid,1277
1431226800000,173741,364,1187291
1440903600000,215244,790,n197400.000
1436065200000,321759,available,0
1440903600000,394660,790,n273000.000
1435460400000,409235,785,1055803
1431226800000,324679,227,977762
1438484400000,214299,663,1297729 n156.000 606827
1433646000000,113208,776,511925
1439694000000,409562,928,769062
1431831600000,290172,790,n238800.000
1442113200000,460361,1075,n120.000 1029109 n1200.000 1029109 n12000.000 1029109
1431226800000,16228,6,1040170 1242195
1431226800000,58082,917,n3381852.000 n24060.000 312453
1433041200000,184884,994,1144099 222820 903066
1440903600000,272079,65,769062
1436670000000,258240,917,n6236748.000
1433646000000,48837,790,n117600.000
1433041200000,46643,653,816598 43939
1436065200000,461185,888,1329414 889930
1439089200000,117974,888,1093699 n10080.000 992862 951748 13722 n19.200 1135780 1284577 n168.000 1284577 n19200.000 628176 n10800.000 1284577 n48.000 1187104 1284577 n12.000 1175087 n6000.000 1187104 1284577 1186729 769062 1284577 1055803 1164666 625815 746148 1284577 1141052 n48.000 288796 1284577 814297 670753 n84.000 253573
1431226800000,301212,888,150169 1219716 136963 442519 243135 656611 n96.000 1318853
1441508400000,448196,486,769062 206386 86628
1439089200000,270408,790,n96840.000
1431226800000,403784,159,519769
1431226800000,245229,6,162014 1157517
1438484400000,318909,available,0
1441508400000,402872,888,648821 1109945 237874 1094800 1297729 n36.000 350726 30603 832471
1433646000000,309394,1064,888666 498026
1439694000000,402706,689,150169 683159
1436670000000,122410,678,922011 840490
1433646000000,180323,452,992862 951748 1011636
1442113200000,424765,888,150169 727528 40293 97917 1154859 86628 n144000.000 786769
1433041200000,111195,689,150169 1037891
1436670000000,353007,888,164247
1433646000000,326448,614,769062
1433646000000,419261,982,769062
1433041200000,117668,521,769062
1431226800000,308266,364,1044343
1438484400000,353246,888,n108.000 746422
1433041200000,89756,720,n8400.000 10317
1436065200000,372686,663,1297729 n156.000 606827
1442113200000,366228,available,1
1439694000000,219730,6,769062
1433646000000,452566,112,679677
1436670000000,266581,available,1
1439694000000,133623,9,554317
1431226800000,400360,763,17920
1437879600000,465089,888,n4380.000 428058
1433041200000,224195,892,1186729 474154
1433646000000,419494,227,460346 630194
1433646000000,165756,689,150169 727528 20836 253573 n53400.000
1431226800000,25704,available,0
1435460400000,287203,790,n60684.000
1431226800000,244384,764,1285872
1435460400000,55929,283,554317 820477 938947
1437879600000,350508,categoryid,546
1441508400000,92817,400,1297729 n720.000 1178208 n900.000 424566
1433041200000,14419,available,1
1434250800000,107510,888,n21156.000
1433646000000,119165,546,1050009 885373
1437274800000,341526,790,n20400.000
1434250800000,25443,888,734479 n168.000 450384 473344
1442113200000,307629,202,n3672.000
1436065200000,106673,888,886895 992318 552264
1433041200000,188185,686,610834
1433041200000,277806,941,945042 307474
1433041200000,51930,227,557940 637689
1433041200000,440857,159,519769
1431226800000,374152,364,498773
1433041200000,116510,227,814966 945042
1439089200000,221365,categoryid,1226
1433646000000,186122,735,1116693
1433646000000,62921,830,373898
1435460400000,113038,available,0
1433646000000,223673,364,1073455
1431226800000,430567,888,1169506
1432436400000,191727,962,664227
1440298800000,389453,888,417503 n24.000 1187104
1437274800000,418935,790,n756600.000
1432436400000,439782,283,882006 768453 1113872 1230005
1436670000000,151099,364,267898
1432436400000,385855,available,1
1436670000000,274528,544,1055803 1164666
1431226800000,298072,283,341599 912235 363182 695707 479886 341599 912235 363182 1335882 1097148 883577 1200722 140821 269926 610517 312815 1020770 205513 653611 945360 30603 1238719 707081 163019 421782 986284 913084 1184709 906183 1128577 807759 1192767 1308676 169551 1225619 1016240 435731 30603
1433041200000,8270,355,586893
1439089200000,160793,790,n68280.000
1433646000000,247597,888,916334 302615
1433041200000,217378,270,114637
1433646000000,257516,159,519769
1433041200000,237417,790,n382800.000
1433041200000,434426,698,1037891
1440298800000,296692,available,1
1440903600000,42853,678,367680
1433041200000,284811,888,560908 373953 978007 929129
1439694000000,295282,6,598588 150169 1177237
1433041200000,375175,159,519769
1436065200000,347751,790,n56736.000
1435460400000,191532,888,911581 794767
1431226800000,277953,283,66094 372274 548896 260172 66094 237874 243924 383195 125073 934740 625815 78196 237874 243924 433434 988697 1193902 821952 615344 1158835 78196 21488 1030747 707081 1145804 2212 581854 703386 539823 1154859 38562 16970 326618 78196
1433646000000,131844,33,1228532
1431226800000,427697,764,1285872
1433646000000,24306,314,n60.000 1128577
1431226800000,9190,790,n462360.000
1433041200000,269749,202,1012579 448942 638494
1440298800000,232979,categoryid,1026
1431226800000,380850,categoryid,691
1433041200000,332387,227,722378 1263557 150169 386093
1439694000000,147716,33,279887 421694
1433041200000,43337,46,769062
1441508400000,76417,categoryid,1244
1436670000000,23100,962,664227
1433041200000,298609,566,269011 n780.000 424566
1440298800000,459180,591,1116693
1431226800000,161926,159,519769
1433646000000,367965,942,769062
1440903600000,388985,790,n8400.000
1439694000000,95172,784,n12.000 686768
1439694000000,382961,346,769062
1433041200000,356674,202,711704
1433041200000,53090,707,769062
1441508400000,332465,available,0
1434250800000,323744,888,982766 245597 n132.000 1107526 242942
1439694000000,88660,468,272976
1436065200000,373357,663,n168.000
1439694000000,147141,839,945136
1431831600000,105528,790,n460680.000
1433041200000,303674,698,1249027
1435460400000,298812,764,1285872
1431226800000,217493,790,n341760.000
1435460400000,343084,681,814297 670753 n84.000 253573 604655
1431226800000,428556,364,309136
1439694000000,35963,202,555988 259960
1431226800000,144611,275,769062
1433041200000,137815,807,1209854 n60.000 48033
1433041200000,358227,698,305351 322391
1433646000000,248233,960,769062
1433646000000,154106,38,769062
1433646000000,382578,839,341411
1433041200000,182558,810,n312.000
1435460400000,291285,283,942411 177151 64816 133116 1128577 227976 1196328 603188 1128577 227976 1196328 177151 64816 737007 992688 727274 1273256 574225 567967 269926 348137 786181 709553 901561 1080764 824998 111677 675499 113294 610517 398124 280445
1433041200000,270296,888,787461 333798 n240.000 818708
1431226800000,410254,6,154613
1436065200000,416219,790,n411360.000
1433646000000,248282,815,769062
1436670000000,422098,776,529178
1433041200000,132881,663,n150.000
1436670000000,84355,434,769062
1436670000000,209769,663,n187.200
1439694000000,97555,698,355479
1431226800000,282552,917,831823
1433041200000,22277,888,996058 161258 424566 1297729 n48.000 350726 30603 832471
1431226800000,194830,283,1206195 1318713 972907 214729
1439089200000,300051,283,512738 150169 257131 412070 1143008 494056 512738 126191 11997 945394 615215 150169 257131 412070 1143008 175799 880027 108347 653611 745504 1056884 644294 300602 46763 1059856 677588 766810 512738 1057186
1433041200000,96660,categoryid,498
1431226800000,92000,364,1106542
1440903600000,238043,888,151567 692837
1432436400000,380941,40,769062
1432436400000,153583,415,769062
1435460400000,382094,961,852186
1440903600000,70758,available,0
1435460400000,73083,776,687011
1432436400000,316856,663,1297729 n48.000 1178208 n48.000 n60.000 606827
1433041200000,19020,227,460346 545482
1437879600000,58489,888,1016861 1133979
1439089200000,351165,671,n21.600 396934
1431226800000,50282,159,519769
1435460400000,295694,917,145386
1431226800000,59980,available,1
1432436400000,114802,713,636791 1291560 488921 565654
1431226800000,301665,159,519769
1433041200000,291158,696,769062 1161933
1433041200000,323154,28,150169 610517
1435460400000,71952,678,286484
1435460400000,117686,678,34806 753764
1431226800000,76889,678,833538
1440298800000,125963,1036,1154859 1133979
1431831600000,454164,790,n118200.000
1431226800000,114241,678,634144
1436670000000,307757,1028,769062
1432436400000,86265,658,769062
1432436400000,456690,962,664227
1436065200000,322986,888,590055 151740
1431226800000,399709,available,1
1440903600000,444534,available,0
1431226800000,377441,776,1290011
1437274800000,395163,790,n68880.000
1431831600000,195741,175,n12.000
1441508400000,403571,595,1312959
1431226800000,10722,364,391938
1440903600000,69408,available,1
1431831600000,102466,283,588652 562911 324555 393047 780711
1436065200000,416399,888,980463
1433646000000,48984,888,683597 470215 n420.000
1440298800000,86663,400,n552.000 639502 n720.000 424566
1431831600000,309434,159,519769
1436670000000,447478,28,150169 274770 79212
1431831600000,338451,776,43496
1435460400000,448659,159,519769
1437879600000,432639,available,1
1438484400000,206186,888,1237771 259314 1237771
1438484400000,332354,962,664227 1305534 664227 463202 664227
1439694000000,205277,931,814297 670753 n96.000 808585
1437879600000,281203,available,1
1431831600000,285751,465,769062
1438484400000,107564,283,403705 942780 n6624.000
1439089200000,422942,888,303952
1438484400000,103218,available,1
1436670000000,27043,566,269011 n900.000 424566
1431226800000,129705,available,1
1431226800000,145056,283,752169 358296 486553 923267
1431831600000,380321,6,88412 827388
1433041200000,13810,categoryid,1421
1433041200000,425449,227,1037547 150169 431733
1431226800000,78908,6,1302066
1437879600000,350514,available,1
1433041200000,317279,227,1322342 150169 1139669
1436670000000,452463,230,1096229
1442113200000,177624,available,0
1439089200000,447150,790,n25680.000
1431831600000,85443,917,457138 1253648 766836
1433646000000,21600,888,111676
1440298800000,376639,400,n552.000 639502 n720.000 424566
1431226800000,210462,678,682142
1437879600000,105871,available,0
1437274800000,305362,928,1318567
1431226800000,385863,917,423949
1435460400000,294868,521,769062
1434250800000,166474,888,1110467
1439694000000,257461,available,0
1434250800000,226143,981,1305534 664227 769062
1440903600000,185666,451,1141052 n48.000 140719 553394
1433041200000,68403,378,769062
1435460400000,18098,6,274770 1091142
1434250800000,438484,978,684814 625815
1435460400000,159223,891,n972.000 424566
1440903600000,76151,categoryid,1085
1431831600000,68063,1036,927133
1431831600000,229531,726,n384.000 1187104
1432436400000,359477,227,341599
1436670000000,454960,888,5135 837239 971355
1434250800000,246444,888,56988 992862 951748 1137726 n21.600 1135780 1284577 n187.200 1284577 n16392.000 628176 n9216.000 134030 1284577 n72.000 1187104 1284577 n12.000 1175087 n12.000 1072114 1284577 1186729 681805 612841 1284577 618514 980588 927741 376092 1284577 1141052 n48.000 288796 1284577 814297 670753 n96.000
1434250800000,287231,790,n22320.000
1439694000000,217424,1036,1154859
1433041200000,158304,categoryid,1069
1439694000000,287629,962,664227 1305534 664227 463202 664227
1433041200000,195516,364,515079
1434250800000,191615,888,238413 n316800.000
1436065200000,177714,283,882006 768453 14688 1170258
1431226800000,50804,888,n9720372.000
1441508400000,244437,categoryid,438
1435460400000,166740,348,21558
1432436400000,361930,904,769062
1439694000000,427524,202,794211 929368
1431831600000,178836,790,n46320.000
1431831600000,3545,283,782532 1223864 382626 741773 386817 134743 1223864 382626 1071900 1019257 939845 1288184 140719 30603 16891 383160 674447 855390 1306028 271425 383160 1128577 220026
1440298800000,195901,790,n122760.000
1439089200000,311886,6,110091 1242090
1439694000000,119849,888,27439
1435460400000,446485,607,n12.000 628176 1267543 n1320.000 n48.000 379924 639502 1146011 664227 3078
1431226800000,260045,764,1285872
1437274800000,188019,790,n71880.000
1436670000000,356920,544,410412 1164666 625815 n55800.000
1432436400000,132495,839,212349
1439694000000,445732,928,769062
1440903600000,420667,categoryid,1404
1431831600000,243120,159,519769
1439089200000,35692,790,n29988.000
1433646000000,431899,888,1324379 866685 412177
1436670000000,292528,6,1263524
1442113200000,236873,888,1246389 1154859
1433041200000,112055,790,n0.000
1431831600000,441324,227,1037891
1432436400000,420905,686,769062
1431226800000,83042,283,1088309 633705 899151 150169 512066 1263524 626101 621217 868033 1088309 633705 123829 150169 119273 237874 996394 n120.000 834282 397550 30603 898004 1088309 796845 653611 132466 986284 1128577 403210 837581 768988 630115 628542 363949
1432436400000,275135,713,1154544
1433041200000,296031,931,814297 670753 n96.000
1438484400000,235456,888,334040 n936.000
1432436400000,425820,747,769062
1435460400000,17190,570,531626
1436670000000,391583,689,471783 827388
1441508400000,208297,663,1297729 n156.000 606827
1431831600000,151203,764,1285872
1433041200000,53009,available,1
1439694000000,193786,451,1141052 288796
1431831600000,221436,888,1196991 1079844 n27720.000
1436670000000,381070,689,150169 1002405
1432436400000,20722,570,881499 237874 726215
1439089200000,22495,available,1
1431226800000,378565,categoryid,1007
1431226800000,202947,available,0
1431831600000,22568,available,0
1433041200000,34086,917,n6265926900.000
1435460400000,77268,6,823435 945042
1437879600000,355844,981,664227 1305534 664227 288796 769062
1434250800000,86000,942,n27.600 940238
1431831600000,133793,283,740734 1204938 1124509 1204938 34916 1178058 1085228 740734 992688 247472 425005 451384 231181 499744 16970 1097825 1072017 237874 318178 621351 117289 1161933 379482 740861 386817 766810 454730 1116693
1433041200000,442915,categoryid,89
1433041200000,382501,available,0
1434250800000,457101,888,1182846 n822.132 468330
1432436400000,56017,839,371370 1162729
1436670000000,300029,888,240388 715738 132664
1435460400000,90386,678,475657
1439694000000,314950,6,1252290 1319279 920988
1432436400000,435713,188,769062
1432436400000,258425,758,n48.000 1187104
1431831600000,48091,776,175172
1431226800000,397786,678,820477
1439694000000,434604,2,769062
1433041200000,416965,917,n4380420.000
1436670000000,246240,810,1299781
1439694000000,342010,888,986363 23033 552264
1440298800000,62965,888,1232401 n4800.000
1431226800000,175772,681,1116693
1438484400000,247999,327,530843
1437274800000,256270,506,635635 457503
1437274800000,232885,790,n115560.000
1431831600000,270936,935,1164476
1432436400000,260176,1083,n156.000
1432436400000,102422,451,1141052 n48.000
1436670000000,169776,663,1297729 n156.000 606827
1440298800000,310329,790,n18960.000
1436670000000,275846,581,1041261 191208
1435460400000,47033,631,n600.000 988555
1436670000000,153147,227,1249027
1441508400000,331027,available,1
1439694000000,401901,839,92706
1431226800000,176310,790,n10680.000
1440298800000,29099,790,n10800.000
1432436400000,218099,521,769062
1433041200000,436711,227,984245 1322342
1431831600000,260571,available,0
1433041200000,93688,558,945360 827388
1439694000000,11895,956,769062
1436670000000,239493,19,1297729 n36.000 350726 30603 832471
1437274800000,284111,663,1297729 n132.000 1178208 n156.000 606827
1431226800000,93353,888,179038
1433041200000,173343,227,515573
1435460400000,328248,764,1285872
1432436400000,107593,847,769062
1431226800000,328315,764,1285872
1431831600000,399218,698,1037891
1431831600000,421939,809,769062
1435460400000,219730,112,679677
1431226800000,156516,678,14688
1433646000000,107165,959,769062
1431226800000,266411,38,769062
1439694000000,29883,451,600901
1442113200000,155727,790,n10440.000
1435460400000,23744,917,n5088121308.000
1433646000000,25145,501,769062
1439694000000,119105,496,98606 1015535
1442113200000,283609,available,0
1433041200000,429275,698,1020281
1433041200000,28661,46,769062
1432436400000,55532,544,992862 1099744 318063
1439694000000,290402,648,769062
1433041200000,445657,202,320693 n10884.000 48218
1433646000000,176432,698,882006 768453
1434250800000,441324,451,140719 553394
1435460400000,79026,35,611145 1257525
1433041200000,201808,790,n21960.000
1431831600000,451569,663,n187.200
1439694000000,257863,790,n307080.000
1433041200000,130507,961,88467 388078
1439694000000,413316,663,1297729 n156.000 606827
1431226800000,423947,764,1285872
1433041200000,118642,566,n408.000 424566
1431226800000,187036,6,1135362
1435460400000,302839,689,150169 274770 79212
1433041200000,407603,225,1066831 n10800.000
1431226800000,265187,917,n2412.000 69764
1433646000000,20442,987,166332 n2520.000 377738
1435460400000,244935,888,447296 234049 n66000.000
1431226800000,318416,364,174701
1435460400000,315721,available,0
1433041200000,279876,961,827469 1122965
1431831600000,66622,204,992862 677128 221748 n2640.000
1438484400000,280545,categoryid,173
1431226800000,432140,283,15478 388925 471940 1216427 1334537
1433041200000,40384,available,0
1435460400000,328606,776,1300618
1433041200000,207213,243,341599 1286049
1433041200000,242961,1092,291010
1439089200000,423691,available,1
1433041200000,459614,839,978921
1433041200000,39982,227,931348 630194
1433041200000,314943,569,n12.000
1433041200000,113496,962,664227
1433041200000,38285,398,308950
1435460400000,182044,678,796651
1433646000000,30232,71,601924
1431226800000,5472,776,754724
1435460400000,183751,962,664227
1435460400000,355877,790,n582360.000
1433646000000,56531,589,769062
1439694000000,357215,112,679677
1437274800000,67087,888,378938 234027 1339650 1105763
1435460400000,353361,available,1
1435460400000,345799,202,726612 1326020 907892
1438484400000,382164,188,n3000.000 10317 162224
1438484400000,434139,categoryid,819
1431226800000,112715,790,n9360.000
1431226800000,431552,776,761295
1431226800000,98397,available,0
1432436400000,63883,888,1337242 363182 900624
1431226800000,117284,227,977762
1433041200000,17725,678,158910
1437879600000,241383,42,134035
1435460400000,22040,917,787104
1434250800000,360984,available,0
1439694000000,305045,888,n13836.000 245284
1433041200000,3272,764,1285872
1433646000000,386586,434,769062
1432436400000,3287,888,275398
1439694000000,91017,671,769062
1431226800000,357765,678,140639
1440298800000,127371,962,664227 1305534 664227
1431831600000,228855,382,769062
1433646000000,148022,479,769062
1440903600000,291300,categoryid,1114
1435460400000,94804,176,769062
1439694000000,290997,335,769062
1442113200000,431743,663,1297729 n156.000 606827
1436670000000,330004,888,1232090 1154859 86628
1442113200000,303358,1032,98606 345918 1015535
1433041200000,137689,560,769062
1435460400000,195388,159,519769
1441508400000,104836,888,410412 465575 1164666 n116400.000 1284577 288796 1284577 769062 1318567 242881 19179 992862 647924 939413 n6384.000 n36.720 1135780 1284577 n184.800 1284577 n15360.000 628176 n9600.000 134030 1284577 n6144.000 545395 1284577 n12.000 1175087 n720.000 1187104 1284577 1186729 681805 694401 1284577
1433041200000,220559,888,1226747
1433646000000,224990,1058,n48.000
1435460400000,91230,888,1196769 n480.000 95022
1440903600000,58525,225,1066831 n21600.000 1066831 n22800.000 1066831 n10200.000 1066831 n10800.000
1436670000000,461548,available,0
1434250800000,135040,790,n45720.000
1433646000000,138761,243,598729 984245 237874 161948 1320162
1439089200000,22898,790,n31200.000
1435460400000,31057,1066,n705.600 424566
1431226800000,33676,available,0
1433646000000,374720,227,26820 38028
1442113200000,463073,888,n21.600 870627 53666 253825 253825 n384.000 1187104
1433646000000,215134,888,140639 1289595
1431226800000,285066,categoryid,184
1431226800000,87371,917,965176
1436670000000,176171,888,396959
1435460400000,193535,776,442250
1436670000000,166371,61,704527
1441508400000,193570,566,1297729 n780.000 1178208 n900.000 424566
1441508400000,73015,790,n30960.000
1433646000000,216589,202,1034673
1431831600000,6844,846,150169 727528 267448
1433041200000,135135,141,n36.000
1436670000000,51972,283,915957 739594 1050009 1036064 493908 384504 297295 237874 170425 990716 458346 1050009 493908 692240 707081 252562 153715 484436 980409 940857 1244358 136817 251836 752730 30603 1216780 331687
1433041200000,396403,905,769062
1435460400000,390483,790,n125172.000
1442113200000,424158,400,1297729 n660.000 1178208 n720.000 424566
1431226800000,315180,790,n117720.000
1431831600000,70266,988,769062
1431226800000,92352,available,0
1433041200000,333358,961,290182
1437879600000,423508,962,664227 1305534 664227 463202 664227
1439694000000,313871,884,n9600.000 628176 n5760.000
1437879600000,182104,888,827469 916514
1439694000000,400554,758,n48.000 1187104
1431226800000,376420,888,134637 829420
1433646000000,409502,776,760924
1439694000000,80502,available,1
1431226800000,84174,categoryid,911
1434250800000,426186,888,907791 901495 828940
1439694000000,131508,713,784581
1440903600000,403232,available,0
1433041200000,188875,698,188678 1235560 237874 302848
